num	title	repo	repo_full	url	status	target	source_pass	notes
671	EO-EPTC: End-to-End Original Traffic-Based Encrypted Proxy Traffic Classification Framework	ygchen1/eo-eptc	ygchen1/eo-eptc	https://github.com/ygchen1/eo-eptc	downloaded	source\ygchen1_eo-eptc	github_api_readme_second_round	high_title_overlap_with_code_language;near_exact_title_overlap
683	FedScope—Federated Host Embeddings From Telescope Traffic: Design and Implementation	fedscope	SmartData-Polito/fedscope	https://github.com/SmartData-Polito/fedscope	downloaded	source\fedscope	pdf_url_filtered	
685	Fine-Grained Detection and Analysis of Unknown Encrypted Malicious Traffic From Mixed Noisy Labels	Sieve	niebikong/Sieve	https://github.com/niebikong/Sieve	downloaded	source\Sieve	pdf_url_filtered	
696	Hardware-Aware Neural Architecture Search for Encrypted Traffic Classification on Resource-Constrained Devices	ProtectIT	SEAlab-unige/ProtectIT	https://github.com/SEAlab-unige/ProtectIT	failed	source\ProtectIT	pdf_url_filtered	
701	Hierarchical Graph Neural Networks for Resilient Intrusion Detection in Consumer IoT With Limited Labeled Data	HierGNN	guolong-zheng/HierGNN	https://github.com/guolong-zheng/HierGNN	downloaded	source\HierGNN	pdf_url_filtered	
703	HKD-Net: Hierarchical Knowledge Distillation Based on Multi-Domain Feature Fusion for Efficient Network Intrusion Detection	HKD-Net	lzp8341/HKD-Net	https://github.com/lzp8341/HKD-Net	downloaded	source\HKD-Net	pdf_url_filtered	
709	ICAD: Rethinking the Role of Inference and Cues for the Anomaly Detection of Time Series in IIoT	ICAD	Anomaly-Detection3/ICAD	https://github.com/Anomaly-Detection3/ICAD	downloaded	source\ICAD	pdf_url_filtered	
715	LaGraph: Laplacian-Guided Graph Learning for Time Series Anomaly Detection	LaGraph	hit-zsc/LaGraph	https://github.com/hit-zsc/LaGraph	downloaded	source\LaGraph	pdf_url_filtered	
716	Large Language Model-Based Task Offloading and Resource Allocation for Digital Twin Edge Computing Networks	-LLMBased-Task-Offloading-and-Resource-Allocation-for-DTECN	qiongwu86/-LLMBased-Task-Offloading-and-Resource-Allocation-for-DTECN	https://github.com/qiongwu86/-LLMBased-Task-Offloading-and-Resource-Allocation-for-DTECN	failed	source\repo_LLMBased-Task-Offloading-and-Resource-Allocation-for-DTECN	pdf_url_filtered	
733	MAD-MulW: A Multi-Window Anomaly Detection Framework for BGP Security Events	MAD-MulW	2024ChenYP/MAD-MulW	https://github.com/2024ChenYP/MAD-MulW	downloaded	source\MAD-MulW	pdf_url_filtered	
739	Memory Augment Is All You Need for Image Restoration	MemoryNet	zhangbaijin/MemoryNet	https://github.com/zhangbaijin/MemoryNet	downloaded	source\MemoryNet	pdf_url_filtered	
745	MT-KD: Multi-Teacher Knowledge Distillation for Privacy-Aware Unlearning in IIoT Intrusion Detection Systems	MT-KD	NJS-HZ/MT-KD	https://github.com/NJS-HZ/MT-KD	downloaded	source\MT-KD	pdf_url_filtered	
757	Multivariate Time Series Anomaly Detection Using Learnable Spatial-Temporal Graph Ordinary Differential Equations Network	MAD-ODE	AIOps-tech/MAD-ODE	https://github.com/AIOps-tech/MAD-ODE	downloaded	source\MAD-ODE	pdf_url_filtered	
769	OIPR: Evaluation for Time-Series Anomaly Detection Inspired by Operator Interest	OIPR	weatherjyh/OIPR	https://github.com/weatherjyh/OIPR	downloaded	source\OIPR	pdf_url_filtered	
793	Robust Malicious Network Traffic Detection Framework With Automated Drift Detection, Identification, and Adaptation	Argus	Argusaaa/Argus	https://github.com/Argusaaa/Argus	downloaded	source\Argus	pdf_url_filtered	
796	Saliency-Guided Transformer Attention With Pixel-Level Contrastive Learning for Weakly Supervised Defect Localization	STAC	djene-mengistu/STAC	https://github.com/djene-mengistu/STAC	downloaded	source\STAC	pdf_url_filtered;retry_failed_pdf_urls	
801	Securing IoT: Unveiling Attacks With Multiview-Multitask Learning	MVMTL	3Clinton/MVMTL	https://github.com/3Clinton/MVMTL	downloaded	source\MVMTL	pdf_url_filtered	
805	Silent-App-Aware Federated Machine Unlearning for Encrypted Network Traffic Classification	FedUnSilApps	sailorlee97/FedUnSilApps	https://github.com/sailorlee97/FedUnSilApps	downloaded	source\FedUnSilApps	pdf_url_filtered	
812	StatGraph: Effective In-Vehicle Intrusion Detection via Multi-View Statistical Graph Learning	StatGraph	wangkai-tech23/StatGraph	https://github.com/wangkai-tech23/StatGraph	downloaded	source\StatGraph	pdf_url_filtered	
820	TIME-VAD: Text-Informed Magnitude Enhancement Feature Learning for Vehicle Accident Detection and Anticipation	TIME-VAD	sumitmishra209/TIME-VAD	https://github.com/sumitmishra209/TIME-VAD	downloaded	source\TIME-VAD	pdf_url_filtered	
821	Time Will Tell: Criss-Cross Transformer for Encrypted Traffic Analysis	Amanda-HuaDing/Criss-cross_Traffic_Transformer	Amanda-HuaDing/Criss-cross_Traffic_Transformer	https://github.com/Amanda-HuaDing/Criss-cross_Traffic_Transformer	downloaded	source\Criss-cross_Traffic_Transformer	github_api_readme_second_round	manual_known_repo;high_title_overlap_with_code_language;near_exact_title_overlap
821	Time Will Tell: Criss-Cross Transformer for Encrypted Traffic Analysis	Criss-cross_	Amanda-HuaDing/Criss-cross_	https://github.com/Amanda-HuaDing/Criss-cross_	failed	source\Criss-cross_	pdf_url_filtered	
829	TraceCluster: A Lightweight and Adaptive Clustering-Based Subgraph Attention Network for APT Detection in Provenance Graphs	TraceCluster	CSNS-Lab/TraceCluster	https://github.com/CSNS-Lab/TraceCluster	downloaded	source\TraceCluster	pdf_url_filtered	
835	UniNet: A Unified Multi-Granular Traffic Modeling Framework for Network Security	UniNet	Binghui99/UniNet	https://github.com/Binghui99/UniNet	downloaded	source\UniNet	pdf_url_filtered	
844	When Unknown Threat Meets Label Noise: A Self-Correcting Framework	AEGIS-Net	niebikong/AEGIS-Net	https://github.com/niebikong/AEGIS-Net	downloaded	source\AEGIS-Net	pdf_url_filtered;retry_failed_pdf_urls	
