编号,题名,年份,DOI,PDF,大类,二级类,创新点标签,科学问题标签,相关性,相关性分数,代码状态,代码仓库,方法关键词
171,An Adaptability-Enhanced Few-Shot Website Fingerprinting Attack Based on Collusion,2024,10.1109/tifs.2024.3433586,paper/10.1109_TIFS.2024.3433586.pdf,加密流量分类与应用识别,恶意流量、暗网与攻击检测,自监督、对比学习与少样本学习; 数据集、基准、工具与系统化评测; 表征学习、预训练与Transformer,加密与隐私保护造成可观测特征缺失; 标签稀缺、类别不平衡与长尾攻击; 域迁移、概念漂移与真实网络分布变化,强相关,11,未发现,,Adaptability-Enhanced; Few-Shot; Website; Fingerprinting; Attack; Based; Collusion; FSWF
172,An Anomaly-Free Representation Learning Approach for Efficient Railway Foreign Object Detection,2024,10.1109/tii.2024.3413965,paper/10.1109_TII.2024.3413965.pdf,其他AI安全与跨域异常检测,多媒体、医学、遥感与视频异常检测,表征学习、预训练与Transformer; 轻量化、实时与高性能部署,高速流量实时检测与资源约束; 开放世界未知攻击与误报控制,弱相关,3,未发现,,Anomaly-Free; Representation; Learning; Approach; Efficient; Railway; Foreign; Object
173,An Autoencoder-Based Hybrid Detection Model for Intrusion Detection With Small-Sample Problem,2023,10.1109/tnsm.2023.3334028,paper/10.1109_TNSM.2023.3334028.pdf,入侵检测与网络异常检测,其他AI安全与跨域异常检测,数据集、基准、工具与系统化评测; 轻量化、实时与高性能部署,标签稀缺、类别不平衡与长尾攻击; 高速流量实时检测与资源约束; 边缘、IoT、车联网与工业场景约束,强相关,15,未发现,,Autoencoder-Based; Hybrid; Detection; Model; Intrusion; Small-Sample; Problem; Cyber-attacks
174,An encrypted traffic identification method based on multi-scale feature fusion,2024,10.1016/j.array.2024.100338,paper/10.1016_j.array.2024.100338.pdf,加密流量分类与应用识别,,多模态、多视图与特征融合,加密与隐私保护造成可观测特征缺失; 多源异构数据融合与上下文建模,强相关,10,未发现,,
175,Anomaly Detection for In-Vehicle Network Using Self-Supervised Learning With Vehicle-Cloud Collaboration Update,2024,10.1109/tits.2024.3351438,paper/10.1109_TITS.2024.3351438.pdf,入侵检测与网络异常检测,其他AI安全与跨域异常检测; IoT、车联网、工业互联网与边缘安全,自监督、对比学习与少样本学习; 数据集、基准、工具与系统化评测,边缘、IoT、车联网与工业场景约束,强相关,11,未发现,,Anomaly; Detection; In-Vehicle; Network; Using; Self-Supervised; Learning; Vehicle-Cloud
176,ARISE: Graph Anomaly Detection on Attributed Networks via Substructure Awareness,2023,10.1109/tnnls.2023.3312655,paper/10.1109_TNNLS.2023.3312655.pdf,入侵检测与网络异常检测,图学习、知识图谱与威胁情报; 其他AI安全与跨域异常检测,表征学习、预训练与Transformer; 图神经网络与关系建模; 数据集、基准、工具与系统化评测,多源异构数据融合与上下文建模,强相关,12,已下载,FelixDJC/ARISE -> source\FelixDJC_ARISE,ARISE; Graph; Anomaly; Detection; Attributed; Networks; Substructure; Awareness
177,Artificial Intelligence-Based Zero Trust Security Approach for Consumer Industry,2024,10.1109/tce.2024.3412772,paper/10.1109_tce.2024.3412772.pdf,联邦学习、隐私保护与分布式协同,,联邦学习、隐私保护与协同训练; 鲁棒性、对抗防御与可信检测,模型可解释、可信与可审计,弱相关,3,未发现,,Artificial; Intelligence-Based; Zero; Trust; Security; Approach; Consumer; Industry
178,Asymptotic Consistent Graph Structure Learning for Multivariate Time-Series Anomaly Detection,2024,10.1109/tim.2024.3369159,paper/10.1109_TIM.2024.3369159.pdf,图学习、知识图谱与威胁情报,时序、日志、KPI 与云原生异常检测; 其他AI安全与跨域异常检测,数据集、基准、工具与系统化评测; 图神经网络与关系建模,多源异构数据融合与上下文建模,中相关,9,未发现,,Asymptotic; Consistent; Graph; Structure; Learning; Multivariate; Time-Series; Anomaly
179,ATVITSC: A Novel Encrypted Traffic Classification Method Based on Deep Learning,2024,10.1109/tifs.2024.3433446,paper/10.1109_TIFS.2024.3433446.pdf,加密流量分类与应用识别,其他AI安全与跨域异常检测,表征学习、预训练与Transformer,加密与隐私保护造成可观测特征缺失,强相关,13,未发现,,ATVITSC; Novel; Encrypted; Traffic; Classification; Method; Based; Deep
180,Auto-Updating Intrusion Detection System for Vehicular Network: A Deep Learning Approach Based on Cloud-Edge-Vehicle Collaboration,2024,10.1109/tvt.2024.3399219,paper/10.1109_TVT.2024.3399219.pdf,入侵检测与网络异常检测,IoT、车联网、工业互联网与边缘安全; 时序、日志、KPI 与云原生异常检测,在线、增量、开放集与概念漂移; 数据集、基准、工具与系统化评测; 轻量化、实时与高性能部署,边缘、IoT、车联网与工业场景约束; 高速流量实时检测与资源约束; 开放世界未知攻击与误报控制,强相关,13,未发现,,Auto-Updating; Intrusion; Detection; System; Vehicular; Network; Deep; Learning
181,Automatic Evasion of Machine Learning-Based Network Intrusion Detection Systems,2023,10.1109/tdsc.2023.3247585,paper/10.1109_TDSC.2023.3247585.pdf,入侵检测与网络异常检测,其他AI安全与跨域异常检测,鲁棒性、对抗防御与可信检测; 数据集、基准、工具与系统化评测,对抗规避、污染与鲁棒性,强相关,14,未发现,,Automatic; Evasion; Machine; Learning-Based; Network; Intrusion; Detection; Systems
182,AutoML4ETC: Automated Neural Architecture Search for Real-World Encrypted Traffic Classification,2023,10.1109/tnsm.2023.3324936,paper/10.1109_TNSM.2023.3324936.pdf,加密流量分类与应用识别,其他AI安全与跨域异常检测,数据集、基准、工具与系统化评测,加密与隐私保护造成可观测特征缺失; 域迁移、概念漂移与真实网络分布变化; 数据集代表性、标准化评测与可复现,强相关,16,已下载,AutoML4ETC -> source\AutoML4ETC,AutoML4ETC; Automated; Neural; Architecture; Search; Real-World; Encrypted; Traffic
183,Blockchain-Enabled Federated Learning for Enhanced Collaborative Intrusion Detection in Vehicular Edge Computing,2024,10.1109/tits.2024.3351699,paper/10.1109_TITS.2024.3351699.pdf,联邦学习、隐私保护与分布式协同,入侵检测与网络异常检测; IoT、车联网、工业互联网与边缘安全,联邦学习、隐私保护与协同训练; 轻量化、实时与高性能部署; 数据集、基准、工具与系统化评测,边缘、IoT、车联网与工业场景约束; 高速流量实时检测与资源约束,强相关,12,未发现,,Blockchain-Enabled; Federated; Learning; Enhanced; Collaborative; Intrusion; Detection; Vehicular
184,BSTFNet: An Encrypted Malicious Traffic Classification Method Integrating Global Semantic and Spatiotemporal Features,2024,10.32604/cmc.2024.047918,paper/10.32604_cmc.2024.047918.pdf,加密流量分类与应用识别,其他AI安全与跨域异常检测; 恶意流量、暗网与攻击检测,表征学习、预训练与Transformer; 多模态、多视图与特征融合,加密与隐私保护造成可观测特征缺失; 边缘、IoT、车联网与工业场景约束; 多源异构数据融合与上下文建模,强相关,14,未发现,,BSTFNet; Encrypted; Malicious; Traffic; Classification; Method; Integrating; Global
185,CaCo: Attributed Network Anomaly Detection via Canonical Correlation Analysis,2023,10.1109/tii.2023.3266406,paper/10.1109_TII.2023.3266406.pdf,入侵检测与网络异常检测,其他AI安全与跨域异常检测,表征学习、预训练与Transformer,开放世界未知攻击与误报控制,强相关,10,未发现,,CaCo; Attributed; Network; Anomaly; Detection; Canonical; Correlation; Analysis
186,Cactus: Obfuscating Bidirectional Encrypted TCP Traffic at Client Side,2024,10.1109/tifs.2024.3442530,paper/10.1109_TIFS.2024.3442530.pdf,加密流量分类与应用识别,,应用场景与系统化验证,加密与隐私保护造成可观测特征缺失,强相关,13,未发现,,Cactus; Obfuscating; Bidirectional; Encrypted; TCP; Traffic; Client; Side
187,Calibrated One-Class Classification for Unsupervised Time Series Anomaly Detection,2024,10.1109/tkde.2024.3393996,paper/10.1109_TKDE.2024.3393996.pdf,其他AI安全与跨域异常检测,入侵检测与网络异常检测; 时序、日志、KPI 与云原生异常检测,应用场景与系统化验证,开放世界未知攻击与误报控制,弱相关,2,未发现,,Calibrated; One-Class; Classification; Unsupervised; Time; Series; Anomaly; Detection
188,Classify Traffic Rather Than Flow: Versatile Multi-Flow Encrypted Traffic Classification With Flow Clustering,2023,10.1109/tnsm.2023.3322861,paper/10.1109_TNSM.2023.3322861.pdf,加密流量分类与应用识别,其他AI安全与跨域异常检测; 基础理论、密码协议与安全机制,应用场景与系统化验证,加密与隐私保护造成可观测特征缺失,强相关,14,未发现,,Classify; Traffic; Rather; Than; Flow; Versatile; Multi-Flow; Encrypted
189,Classifying Tor Traffic Encrypted Payload Using Machine Learning,2024,10.1109/access.2024.3356073,paper/10.1109_access.2024.3356073.pdf,加密流量分类与应用识别,其他AI安全与跨域异常检测,应用场景与系统化验证,加密与隐私保护造成可观测特征缺失,强相关,17,未发现,,Classifying; Tor; Traffic; Encrypted; Payload; Using; Machine; Learning
190,Clients Eligibility-Based Lightweight Protocol in Federated Learning: An IDS Use Case,2024,10.1109/tnsm.2024.3398213,paper/10.1109_TNSM.2024.3398213.pdf,联邦学习、隐私保护与分布式协同,基础理论、密码协议与安全机制; 入侵检测与网络异常检测,轻量化、实时与高性能部署; 联邦学习、隐私保护与协同训练,高速流量实时检测与资源约束,中相关,9,未发现,,Clients; Eligibility-Based; Lightweight; Protocol; Federated; Learning; IDS; Use
191,Cluster and Conquer: Malicious Traffic Classification at the Edge,2023,10.1109/tnsm.2023.3342716,paper/10.1109_TNSM.2023.3342716.pdf,加密流量分类与应用识别,其他AI安全与跨域异常检测; 恶意流量、暗网与攻击检测,轻量化、实时与高性能部署; 在线、增量、开放集与概念漂移; 鲁棒性、对抗防御与可信检测,高速流量实时检测与资源约束; 边缘、IoT、车联网与工业场景约束; 对抗规避、污染与鲁棒性,强相关,16,未发现,,Cluster; Conquer; Malicious; Traffic; Classification; Edge; IoT; NIDSs
192,Combine intra- and inter-flow: A multimodal encrypted traffic classification model driven by diverse features,2024,10.1016/j.comnet.2024.110403,paper/10.1016_j.comnet.2024.110403.pdf,加密流量分类与应用识别,其他AI安全与跨域异常检测,多模态、多视图与特征融合,加密与隐私保护造成可观测特征缺失,强相关,12,未发现,,Combine
193,CoMDet: A Contrastive Multimodal Pre-Training Approach to Encrypted Malicious Traffic Detection,2024,10.1109/compsac61105.2024.00151,paper/10.1109_compsac61105.2024.00151.pdf,其他AI安全与跨域异常检测,恶意流量、暗网与攻击检测,表征学习、预训练与Transformer; 多模态、多视图与特征融合; 自监督、对比学习与少样本学习,加密与隐私保护造成可观测特征缺失,中相关,7,未发现,,CoMDet; Contrastive; Multimodal; Pre-Training; Approach; Encrypted; Malicious; Traffic
194,Constraining Adversarial Attacks on Network Intrusion Detection Systems: Transferability and Defense Analysis,2024,10.1109/tnsm.2024.3357316,paper/10.1109_TNSM.2024.3357316.pdf,入侵检测与网络异常检测,恶意流量、暗网与攻击检测,鲁棒性、对抗防御与可信检测; 数据集、基准、工具与系统化评测,对抗规避、污染与鲁棒性; 域迁移、概念漂移与真实网络分布变化,强相关,17,未发现,,Constraining; Adversarial; Attacks; Network; Intrusion; Detection; Systems; Transferability
195,Continuous Select-and-Prune Incremental Learning for Encrypted Traffic Classification in Distributed SDN Networks,2024,10.1109/lcn60385.2024.10639717,paper/10.1109_lcn60385.2024.10639717.pdf,加密流量分类与应用识别,其他AI安全与跨域异常检测; 联邦学习、隐私保护与分布式协同,联邦学习、隐私保护与协同训练; 在线、增量、开放集与概念漂移,加密与隐私保护造成可观测特征缺失,强相关,15,未发现,,Continuous; Select-and-Prune; Incremental; Learning; Encrypted; Traffic; Classification; Distributed
196,Contrasting Estimation of Pattern Prototypes for Anomaly Detection in Urban Crowd Flow,2024,10.1109/tits.2024.3355143,paper/10.1109_TITS.2024.3355143.pdf,入侵检测与网络异常检测,其他AI安全与跨域异常检测; 加密流量分类与应用识别,可解释性、规则抽取与因果分析; 数据集、基准、工具与系统化评测,模型可解释、可信与可审计; 数据集代表性、标准化评测与可复现,强相关,11,已下载,ProtoDetect -> source\ProtoDetect,Contrasting; Estimation; Pattern; Prototypes; Anomaly; Detection; Urban; Crowd
197,Contrastive Time-Series Anomaly Detection,2023,10.1109/tkde.2023.3335317,paper/10.1109_TKDE.2023.3335317.pdf,其他AI安全与跨域异常检测,入侵检测与网络异常检测,自监督、对比学习与少样本学习; 表征学习、预训练与Transformer; 轻量化、实时与高性能部署,域迁移、概念漂移与真实网络分布变化; 高速流量实时检测与资源约束,弱相关,3,未发现,,Contrastive; Time-Series; Anomaly; Detection; Advances; Moreover; Additi; contrastive learning
198,"CoopGBFS: A Federated Learning and Game-Theoretic-Based Approach for Personalized Security, Recommendation in 5G Beyond IoT Environments for Consumer Electronics",2023,10.1109/tce.2023.3305508,paper/10.1109_TCE.2023.3305508.pdf,IoT、车联网、工业互联网与边缘安全,联邦学习、隐私保护与分布式协同,联邦学习、隐私保护与协同训练; 数据集、基准、工具与系统化评测,边缘、IoT、车联网与工业场景约束,中相关,8,未发现,,CoopGBFS; Federated; Learning; Game-Theoretic-Based; Approach; Personalized; Security; Recommendation
199,Correlation-Aware Spatial–Temporal Graph Learning for Multivariate Time-Series Anomaly Detection,2023,10.1109/tnnls.2023.3325667,paper/10.1109_TNNLS.2023.3325667.pdf,时序、日志、KPI 与云原生异常检测,图学习、知识图谱与威胁情报; 入侵检测与网络异常检测,图神经网络与关系建模,多源异构数据融合与上下文建模,中相关,9,未发现,,Correlation-Aware; Spatial; Temporal; Graph; Learning; Multivariate; Time-Series; Anomaly
200,Counterfactual Data Augmentation With Denoising Diffusion for Graph Anomaly Detection,2024,10.1109/tcss.2024.3403503,paper/10.1109_TCSS.2024.3403503.pdf,图学习、知识图谱与威胁情报,入侵检测与网络异常检测; 其他AI安全与跨域异常检测,生成式增强、GAN与扩散模型; 多模态、多视图与特征融合; 可解释性、规则抽取与因果分析; 表征学习、预训练与Transformer,多源异构数据融合与上下文建模; 模型可解释、可信与可审计,中相关,7,已下载,CAGAD -> source\CAGAD,Counterfactual; Data; Augmentation; Denoising; Diffusion; Graph; Anomaly; Detection
201,Coupled Attention Networks for Multivariate Time Series Anomaly Detection,2023,10.1109/tetc.2023.3280577,paper/10.1109_TETC.2023.3280577.pdf,时序、日志、KPI 与云原生异常检测,其他AI安全与跨域异常检测; 入侵检测与网络异常检测,表征学习、预训练与Transformer; 图神经网络与关系建模,开放世界未知攻击与误报控制,中相关,8,未发现,,Coupled; Attention; Networks; Multivariate; Time; Series; Anomaly; Detection
202,Credible Link Flooding Attack Detection and Mitigation: A Blockchain-Based Approach,2024,10.1109/tnsm.2024.3357660,paper/10.1109_TNSM.2024.3357660.pdf,恶意流量、暗网与攻击检测,联邦学习、隐私保护与分布式协同,联邦学习、隐私保护与协同训练; 在线、增量、开放集与概念漂移; 鲁棒性、对抗防御与可信检测,开放世界未知攻击与误报控制,强相关,13,未发现,,Credible; Link; Flooding; Attack; Detection; Mitigation; Blockchain-Based; Approach
203,Curved Geometric Networks for Visual Anomaly Recognition,2023,10.1109/tnnls.2023.3309846,paper/10.1109_TNNLS.2023.3309846.pdf,多媒体、医学、遥感与视频异常检测,其他AI安全与跨域异常检测,在线、增量、开放集与概念漂移; 表征学习、预训练与Transformer,域迁移、概念漂移与真实网络分布变化,弱相关,2,未发现,,Curved; Geometric; Networks; Visual; Anomaly; Recognition
204,DE-GNN: Dual embedding with graph neural network for fine-grained encrypted traffic classification,2024,10.1016/j.comnet.2024.110372,paper/10.1016_j.comnet.2024.110372.pdf,加密流量分类与应用识别,图学习、知识图谱与威胁情报; 其他AI安全与跨域异常检测,图神经网络与关系建模; 表征学习、预训练与Transformer,加密与隐私保护造成可观测特征缺失; 多源异构数据融合与上下文建模,强相关,13,未发现,,DE-GNN; Dual; GNN
205,Deep Contrastive Representation Learning With Self-Distillation,2023,10.1109/tetci.2023.3304948,paper/10.1109_TETCI.2023.3304948.pdf,其他AI安全与跨域异常检测,,自监督、对比学习与少样本学习; 表征学习、预训练与Transformer,开放世界未知攻击与误报控制,弱相关,1,未发现,,Deep; Contrastive; Representation; Learning; Self-Distillation; Recently; Low-level; contrastive learning
206,Detecting Cloud Anomaly via Broad Network-Based Contrastive Autoencoder,2024,10.1109/tnsm.2024.3353772,paper/10.1109_tnsm.2024.3353772.pdf,其他AI安全与跨域异常检测,时序、日志、KPI 与云原生异常检测,自监督、对比学习与少样本学习; 数据集、基准、工具与系统化评测,数据集代表性、标准化评测与可复现,弱相关,4,候选不可访问,BroadCAE,Detecting; Cloud; Anomaly; Broad; Network-Based; Contrastive; Autoencoder; Although
207,Detecting Intentional AIS Shutdown in Open Sea Maritime Surveillance Using Self-Supervised Deep Learning,2023,10.1109/tits.2023.3322690,paper/10.1109_TITS.2023.3322690.pdf,其他AI安全与跨域异常检测,多媒体、医学、遥感与视频异常检测,自监督、对比学习与少样本学习,开放世界未知攻击与误报控制,弱相关,3,未发现,,Detecting; Intentional; AIS; Shutdown; Open; Sea; Maritime; Surveillance
208,Distinguishing Tor From Other Encrypted Network Traffic Through Character Analysis,2024,10.18420/cdm-2024-37-14,paper/10.18420_cdm-2024-37-14.pdf,加密流量分类与应用识别,,应用场景与系统化验证,加密与隐私保护造成可观测特征缺失,强相关,16,未发现,,Distinguishing; Tor; From; Other; Encrypted; Network; Traffic; Through
209,DroneSSL: Self-Supervised Multimodal Anomaly Detection in Internet of Drone Things,2024,10.1109/tce.2024.3376440,paper/10.1109_TCE.2024.3376440.pdf,其他AI安全与跨域异常检测,IoT、车联网、工业互联网与边缘安全; 入侵检测与网络异常检测,多模态、多视图与特征融合; 自监督、对比学习与少样本学习; 轻量化、实时与高性能部署; 图神经网络与关系建模,边缘、IoT、车联网与工业场景约束; 高速流量实时检测与资源约束; 加密与隐私保护造成可观测特征缺失; 多源异构数据融合与上下文建模,中相关,6,未发现,,DroneSSL; Self-Supervised; Multimodal; Anomaly; Detection; Internet; Drone; Things
210,DualAttlog: Context aware dual attention networks for log-based anomaly detection,2024,10.1016/j.neunet.2024.106680,paper/10.1016_j.neunet.2024.106680.pdf,时序、日志、KPI 与云原生异常检测,入侵检测与网络异常检测; 其他AI安全与跨域异常检测,表征学习、预训练与Transformer,多源异构数据融合与上下文建模,中相关,7,未发现,,DualAttlog; Context
211,ECNet: Robust Malicious Network Traffic Detection With Multi-View Feature and Confidence Mechanism,2024,10.1109/tifs.2024.3426304,paper/10.1109_TIFS.2024.3426304.pdf,恶意流量、暗网与攻击检测,,多模态、多视图与特征融合; 鲁棒性、对抗防御与可信检测,多源异构数据融合与上下文建模; 对抗规避、污染与鲁棒性; 开放世界未知攻击与误报控制; 域迁移、概念漂移与真实网络分布变化,强相关,13,已下载,Shining20183/ECNet -> source\ECNet,ECNet; Robust; Malicious; Network; Traffic; Detection; Multi-View; Feature
212,Efficient Secure Inference Scheme in Multiparty Settings for Industrial Internet of Things,2024,10.1109/tii.2024.3413324,paper/10.1109_tii.2024.3413324.pdf,IoT、车联网、工业互联网与边缘安全,,轻量化、实时与高性能部署,边缘、IoT、车联网与工业场景约束; 高速流量实时检测与资源约束,中相关,5,未发现,,Efficient; Secure; Inference; Scheme; Multiparty; Settings; Industrial; Internet
213,Encoder-Decoder Contrast for Unsupervised Anomaly Detection in Medical Images,2023,10.1109/tmi.2023.3327720,paper/10.1109_TMI.2023.3327720.pdf,多媒体、医学、遥感与视频异常检测,其他AI安全与跨域异常检测; 入侵检测与网络异常检测,数据集、基准、工具与系统化评测,域迁移、概念漂移与真实网络分布变化,弱相关,3,已下载,EDC -> source\EDC,Encoder-Decoder; Contrast; Unsupervised; Anomaly; Detection; Medical; Images; UAD
214,Encrypted malicious traffic detection based on natural language processing and deep learning,2024,10.1016/j.comnet.2024.110598,paper/10.1016_j.comnet.2024.110598.pdf,恶意流量、暗网与攻击检测,其他AI安全与跨域异常检测,应用场景与系统化验证,加密与隐私保护造成可观测特征缺失,强相关,12,未发现,,Encrypted
215,Encrypted traffic classification based on contrastive learning with spatial-temporal feature fusion,2024,10.1117/12.3025808,paper/10.1117_12.3025808.pdf,加密流量分类与应用识别,其他AI安全与跨域异常检测; 时序、日志、KPI 与云原生异常检测,多模态、多视图与特征融合; 自监督、对比学习与少样本学习,加密与隐私保护造成可观测特征缺失; 多源异构数据融合与上下文建模,强相关,12,未发现,,Encrypted; While; How; Unlike; contrastive learning
216,Energy-Efficient Self-Supervised Technique to Identify Abnormal User Over 5G Network for E-Commerce,2024,10.1109/tce.2024.3355477,paper/10.1109_TCE.2024.3355477.pdf,其他AI安全与跨域异常检测,入侵检测与网络异常检测; IoT、车联网、工业互联网与边缘安全,自监督、对比学习与少样本学习; 轻量化、实时与高性能部署,高速流量实时检测与资源约束; 边缘、IoT、车联网与工业场景约束; 多源异构数据融合与上下文建模,弱相关,4,未发现,,Energy-Efficient; Self-Supervised; Technique; Identify; Abnormal; User; Over; Network
217,Enhanced Network Intrusion Detection System for Internet of Things Security Using Multimodal Big Data Representation with Transfer Learning and Game Theory,2024,10.3390/s24134152,paper/10.3390_s24134152.pdf,入侵检测与网络异常检测,IoT、车联网、工业互联网与边缘安全,表征学习、预训练与Transformer; 数据集、基准、工具与系统化评测; 多模态、多视图与特征融合; 轻量化、实时与高性能部署,域迁移、概念漂移与真实网络分布变化; 边缘、IoT、车联网与工业场景约束; 高速流量实时检测与资源约束,强相关,16,未发现,,Enhanced; Network; Intrusion; Detection; System; Internet; Things; Security
218,Enhanced Pseudo-Label Generation With Self-Supervised Training for Weakly- Supervised Semantic Segmentation,2024,10.1109/tcsvt.2024.3364764,paper/10.1109_TCSVT.2024.3364764.pdf,多媒体、医学、遥感与视频异常检测,其他AI安全与跨域异常检测,自监督、对比学习与少样本学习,标签稀缺、类别不平衡与长尾攻击,弱相关,0,未发现,,Enhanced; Pseudo-Label; Generation; Self-Supervised; Training; Weakly; Supervised; Semantic
219,Evaluating Federated Learning-Based Intrusion Detection Scheme for Next Generation Networks,2024,10.1109/tnsm.2024.3385385,paper/10.1109_TNSM.2024.3385385.pdf,入侵检测与网络异常检测,联邦学习、隐私保护与分布式协同; 其他AI安全与跨域异常检测,联邦学习、隐私保护与协同训练; 数据集、基准、工具与系统化评测,开放世界未知攻击与误报控制; 加密与隐私保护造成可观测特征缺失; 数据集代表性、标准化评测与可复现,强相关,15,未发现,,Evaluating; Federated; Learning-Based; Intrusion; Detection; Scheme; Next; Generation
220,Explosive Cyber Security Threats During COVID-19 Pandemic and a Novel Tree-Based Broad Learning System to Overcome,2022,10.1109/tits.2022.3160182,paper/10.1109_TITS.2022.3160182.pdf,恶意流量、暗网与攻击检测,,数据集、基准、工具与系统化评测,开放世界未知攻击与误报控制,强相关,10,未发现,,Explosive; Cyber; Security; Threats; During; COVID-19; Pandemic; Novel
221,Extensible Machine Learning for Encrypted Network Traffic Application Labeling via Uncertainty Quantification,2023,10.1109/tai.2023.3244168,paper/10.1109_TAI.2023.3244168.pdf,其他AI安全与跨域异常检测,,鲁棒性、对抗防御与可信检测; 表征学习、预训练与Transformer,加密与隐私保护造成可观测特征缺失; 标签稀缺、类别不平衡与长尾攻击; 域迁移、概念漂移与真实网络分布变化,中相关,6,未发现,,Extensible; Machine; Learning; Encrypted; Network; Traffic; Application; Labeling
222,Fast and Accurate Multi-Task Learning for Encrypted Network Traffic Classification,2024,10.3390/app14073073,paper/10.3390_app14073073.pdf,加密流量分类与应用识别,其他AI安全与跨域异常检测,轻量化、实时与高性能部署; 表征学习、预训练与Transformer,加密与隐私保护造成可观测特征缺失; 高速流量实时检测与资源约束,强相关,14,未发现,,Fast; Accurate; Multi-Task; Learning; Encrypted; Network; Traffic; Classification
223,Federated Deep Learning for Intrusion Detection in Consumer-Centric Internet of Things,2023,10.1109/tce.2023.3347170,paper/10.1109_TCE.2023.3347170.pdf,入侵检测与网络异常检测,IoT、车联网、工业互联网与边缘安全; 联邦学习、隐私保护与分布式协同,联邦学习、隐私保护与协同训练; 数据集、基准、工具与系统化评测,边缘、IoT、车联网与工业场景约束; 加密与隐私保护造成可观测特征缺失,强相关,12,未发现,,Federated; Deep; Learning; Intrusion; Detection; Consumer-Centric; Internet; Things
224,Federated Deep Reinforcement Learning for Efficient Jamming Attack Mitigation in O-RAN,2024,10.1109/tvt.2024.3359998,paper/10.1109_TVT.2024.3359998.pdf,恶意流量、暗网与攻击检测,联邦学习、隐私保护与分布式协同,联邦学习、隐私保护与协同训练; 轻量化、实时与高性能部署; 数据集、基准、工具与系统化评测,高速流量实时检测与资源约束,强相关,10,未发现,,Federated; Deep; Reinforcement; Learning; Efficient; Jamming; Attack; Mitigation
225,Federated Learning-Assisted Distributed Intrusion Detection Using Mesh Satellite Nets for Autonomous Vehicle Protection,2023,10.1109/tce.2023.3318727,paper/10.1109_TCE.2023.3318727.pdf,入侵检测与网络异常检测,联邦学习、隐私保护与分布式协同; IoT、车联网、工业互联网与边缘安全,联邦学习、隐私保护与协同训练; 数据集、基准、工具与系统化评测,边缘、IoT、车联网与工业场景约束,强相关,11,未发现,,Federated; Learning-Assisted; Distributed; Intrusion; Detection; Using; Mesh; Satellite
226,Federated Learning-Based Personalized Recommendation Systems: An Overview on Security and Privacy Challenges,2023,10.1109/tce.2023.3318754,paper/10.1109_TCE.2023.3318754.pdf,联邦学习、隐私保护与分布式协同,,数据集、基准、工具与系统化评测; 联邦学习、隐私保护与协同训练; 轻量化、实时与高性能部署,加密与隐私保护造成可观测特征缺失; 高速流量实时检测与资源约束; 数据集代表性、标准化评测与可复现,弱相关,4,未发现,,Federated; Learning-Based; Personalized; Recommendation; Systems; Overview; Security; Privacy
227,FedETC: Encrypted traffic classification based on federated learning,2024,10.1016/j.heliyon.2024.e35962,paper/10.1016_j.heliyon.2024.e35962.pdf,加密流量分类与应用识别,联邦学习、隐私保护与分布式协同; 其他AI安全与跨域异常检测,联邦学习、隐私保护与协同训练,加密与隐私保护造成可观测特征缺失,强相关,10,未发现,,FedETC; Encrypted; federated learning
228,FedPot: A Quality-Aware Collaborative and Incentivized Honeypot-Based Detector for Smart Grid Networks,2024,10.1109/tnsm.2024.3387710,paper/10.1109_TNSM.2024.3387710.pdf,联邦学习、隐私保护与分布式协同,IoT、车联网、工业互联网与边缘安全,联邦学习、隐私保护与协同训练,边缘、IoT、车联网与工业场景约束; 加密与隐私保护造成可观测特征缺失,中相关,8,未发现,,FedPot; Quality-Aware; Collaborative; Incentivized; Honeypot-Based; Detector; Smart; Grid
229,FRHIDS: Federated Learning Recommender Hybrid Intrusion Detection System Model in Software-Defined Networking for Consumer Devices,2023,10.1109/tce.2023.3329151,paper/10.1109_TCE.2023.3329151.pdf,入侵检测与网络异常检测,联邦学习、隐私保护与分布式协同; 其他AI安全与跨域异常检测,联邦学习、隐私保护与协同训练; 数据集、基准、工具与系统化评测,开放世界未知攻击与误报控制,强相关,15,未发现,,FRHIDS; Federated; Learning; Recommender; Hybrid; Intrusion; Detection; System
230,Fusion Graph Structure Learning-Based Multivariate Time Series Anomaly Detection With Structured Prior Knowledge,2024,10.1109/tifs.2024.3459631,paper/10.1109_TIFS.2024.3459631.pdf,时序、日志、KPI 与云原生异常检测,图学习、知识图谱与威胁情报; 入侵检测与网络异常检测,多模态、多视图与特征融合; 轻量化、实时与高性能部署; 图神经网络与关系建模,多源异构数据融合与上下文建模; 边缘、IoT、车联网与工业场景约束; 高速流量实时检测与资源约束,中相关,8,未发现,,Fusion; Graph; Structure; Learning-Based; Multivariate; Time; Series; Anomaly
231,GCN-MHSA: A novel malicious traffic detection method based on graph convolutional neural network and multi-head self-attention mechanism,2024,10.1016/j.cose.2024.104083,paper/10.1016_j.cose.2024.104083.pdf,图学习、知识图谱与威胁情报,恶意流量、暗网与攻击检测,表征学习、预训练与Transformer; 图神经网络与关系建模,多源异构数据融合与上下文建模,强相关,10,未发现,,GCN-MHSA; GCN
